2,100,30001,100000,123456,E1001,John,Thomas,1976-09-01,M,"5631 Rice, OakPark,IL"
5,200,30002,80000,123457,E1002,Alice,James,1972-07-31,F,"980 Berry ln, Elgin,IL"
5,300,30002,50000,123458,E1003,Steve,Wells,1980-10-08,M,"291 Springs, Gary,IL"
5,400,30004,60000,123459,E1004,Santosh,Kumar,1985-07-20,M,"511 Aurora Av, Aurora,IL"
2,500,30001,70000,123410,E1005,Ahmed,Hussain,1981-04-01,M,"216 Oak Tree, Geneva,IL"
2,600,30001,90000,123411,E1006,Nancy,Allen,1978-06-02,F,"111 Green Pl, Elgin,IL"
7,650,30003,65000,123412,E1007,Mary,Thomas,1975-05-05,F,"100 Rose Pl, Gary,IL"
7,660,30003,65000,123413,E1008,Bharath,Gupta,1985-06-05,M,"145 Berry Ln, Naperville,IL"
7,234,30003,70000,123414,E1009,Andrea,Jones,1990-09-07,F,"120 Fall Creek, Gary,IL"
5,220,30004,70000,123415,E1010,Ann,Jacob,1982-03-30,F,"111 Britany Springs,Elgin,IL"
